title,date,eventDate,link,thumb
2/25に「3Dデータってなにがおもしろい？撮影してデータを見よう入門」を浦和で開催します。,2023-02-08,2023-02-25,https://www.facebook.com/events/1253379275578890/,/images/event230225-3d.jpg
今月の「ちいさなデジタル相談室」は5/19開催！浦和の市民活動サポートセンターでおまちしてます。,2023-04-28,2023-05-19,https://www.facebook.com/events/760106609111131/,/images/20230519-small-digital-consult.jpg
3/3に「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催します。,2023-03-01,2023-03-03,https://www.facebook.com/events/901117374415769,/images/event230303soudan.jpg
デジタル庁では、各地域のオープンデータ利活用支援団体の紹介を目的として、主にワークショップ開催を支援する「オープンデータサポート団体（ODサポーター）」を選定し、一覧として掲載しています。「シビックテックさいたま」もオープンデータサポート団体として登録されました。,2023-01-26,,https://www.digital.go.jp/resources/open_data/#support-group,
6月の「ちいさなデジタル相談室」は6/2開催です。浦和の市民活動サポートセンターでおまちしてます。,2023-05-29,2023-06-02,https://www.facebook.com/events/713595980542811,/images/20230602-small-digital-consult.jpg
2/3に「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催します。,2023-01-26,2023-02-03,https://www.facebook.com/events/1564114950693686,/images/event230203soudan.jpg
勉強会「流行りのChatGPTで企画をあたためすぎたアプリの仕様書をつくってみよう」(4/25)を開催します。今回の勉強会では、ChatGPTを使ってシビックテックさいたまで3年間企画をあたためつづけている「ひまマッチングアプリ」の仕様書をつくってみたいと思います。,2023-04-13,2023-04-25,https://www.facebook.com/events/218379857454045,/images/event20230425chatgpt.jpg
4/14に「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催します。,2023-03-30,2023-04-14,https://www.facebook.com/events/206586108643800/,/images/event230414soudan.jpg
2023/1/13に「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催します。,2022-12-21,2023-01-13,https://www.facebook.com/events/531647488860535,/images/event230113soudan.jpg
勉強会「国立国会図書館のオープンデータを活用しよう入門編」(1/24)を開催します。,2022-12-21,2023-01-24,https://www.facebook.com/events/2460489847422089,/images/event230124NDLopendata.jpg
イベント『日常の「困った・使いづらい・怖い」をはきだして解決策をみんなで考える日』を共催します,2023-01-15,2023-01-15,https://www.facebook.com/events/1833411980388965/,/images/event230115seniorIdeathon.jpg
勉強会「シビックテック活動をはじめてみよう！」(5/30)を開催します。今年活動をスタートした「Code for Soka（埼玉県草加市）」の河津さんをお招きして、活動の始めかた・仲間のつくりかたについてお話をうかがいたいと思います。,2023-04-28,2023-05-30,https://www.facebook.com/events/210940371676738/,/images/20230530-civic-tech-start.jpg
勉強会「祝・さいたま市の公園データがオープン化 なにがつくれるか検討会」(3/28)を開催します。,2023-03-11,2023-03-28,https://www.facebook.com/events/739514151149297/,/images/event20230328opendatadays.jpg
イベント　3月2日に行政＆市民協働で今話題のシビックテックを知って体験するセミナー「テーブル for シビックテック in さいたま」を開催します,2022-02-01,,dlfiles/20220302-table-for-civictech.pdf,
デジタルの日(10/3)に「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催します。,2022-10-01,2022-10-03,https://www.facebook.com/events/653216616216053/,/images/event221003digital.jpg
■Code for Japan Summit 2022のセッション動画を作成しました。「それって便利ですか？70代・80代・90代がホンネで語るシニア×テクノロジー」,2022-09-17,,https://youtu.be/R2MN8GH54Ss?t=60,
■CivicTechRadio Vol.10に太田・桑原で出演しました。,2022-09-07,,https://youtu.be/mPBMiGAwJsg,
「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催しました。,2022-11-04,2022-11-04,https://www.facebook.com/events/518970616793169/,/images/event221104digital.jpg
勉強会「公園に関するオープンデータをみつけてみる・さわってみる【UDC2022】」を開催します。,2022-10-18,2022-10-25,https://www.facebook.com/events/652609509727188/,/images/eventpark0221025.jpg
勉強会「アイデアソンのたのしいやりかたを学びたい入門」を開催します。,2022-11-19,2022-11-29,https://www.facebook.com/events/623383482867746,/images/event221129ideathon.jpg
勉強会「やっぱりやりたい！ポッドキャスト入門」(2/28）を開催します,2022-02-01,2022-02-28,https://www.facebook.com/events/967979757426624/,/images/event20220228podcast.jpg
勉強会「埼玉のオープンデータをみたりさわったりしよう★夏休み自由研究に【UDC2022】」(8/23）を開催します　,2022-08-12,2022-08-23,https://www.facebook.com/events/907624140194941,/images/eventopen20220823.jpeg
12/4に「ちいさなデジタル相談室」を浦和の市民活動サポートセンターで開催します。,2022-11-19,2022-12-04,https://www.facebook.com/events/678765293609484/,/images/event221202soudan.jpg
勉強会「学校のPTA活動に必要なものをつくろう」(3/30）を開催します,2022-03-10,2022-03-30,https://www.facebook.com/events/1072091526691251/,/images/event20220330pta.jpg
「アーバンデータチャレンジ2021」で、シビックテックさいたまの作品「定年退職後のセカンドライフ適正診断ツール「人生これから診断」はたらく・学ぶ・たのしむ　さいたま市編の開発」が銅賞となりました！,2022-03-16,,https://urbandata-challenge.jp/news/udc2021prize,
勉強会「10代の「ちょっとしんどい」に知恵や工夫を届けるアプリをつくった『NPO法人ぷるすあるは』の活動を知ろう」(5/24）を開催します,2022-05-02,2022-05-24,https://www.facebook.com/events/1021121398803412/,/images/event20220524plus.jpg
勉強会「ITを使った地図づくり入門講座　さいたま市緑区編」(5/10）を開催します,2022-04-07,2022-05-10,https://www.facebook.com/events/969654633750215/,/images/event20220510machiaruki.jpg
勉強会「文章の記述に便利な「マークダウン」をつかってみよう入門」(6/27）を開催します　,2022-06-11,2022-06-27,https://www.facebook.com/events/790008288823458/,/images/eventmarkdown20220627.jpg
「Code for Japan Summit 2022 ウォッチパーティ in さいたま」(9/19)を開催します。,2022-09-05,2022-09-19,https://www.facebook.com/events/3356607231333317,/images/event220919watchparty.png
「アーバンデータチャレンジ2020」で、シビックテックさいたまの作品「『アーバンデータチャレンジ2021』の応募件数を２倍にするためのアイデア」が実行委員会特別賞を受賞しました,2021-03-22,,https://urbandata-challenge.jp/news/udc2020prize,
勉強会「ITを使った地図づくり入門講座　全2回inさいたま市」(1/13・1/16）を開催します,2021-12-26,2022-01-16,dlfiles/facebookmachiaruki20220116.pdf,/images/event20220116machiaruki.jpg
オープンストリートマップ入門講座,,2021-01-30,https://www.facebook.com/events/896868267738513,/images/event20210130osm.jpg
シビックテックさいたま　オープンデータ入門編テキスト（2021年版）をCC-BY-SA 4.0にて公開しました。,2021-03-13,,https://speakerdeck.com/sizka9/sibitukutetukusaitama-opundetaru-men-bian-tekisuto-2021nian-ban,
勉強会「インフォグラフィックス入門講座」(4/28）を開催します,2021-04-03,2021-04-28,https://www.facebook.com/events/4281597055185891,/images/event20210428info.jpg
勉強会「結局、地域情報の運営ってどうすればいい？勉強会＆ワークショップ」(7/28）を開催します,2021-07-10,2021-07-28,https://www.facebook.com/events/356784956063447,/images/event20210728tiiki.jpg
勉強会「初めての開発 入門講座 技術者とのつき合い方・役割分担 基本のキを学ぶ」(6/30）を開催します,2021-06-01,2021-06-30,https://www.facebook.com/events/944882899680317,/images/event20210630kaihatu.jpg
勉強会「子育て経験をいかした行政と協働でつくる”地域のマップづくり”」(10/25）を開催します,2021-10-04,2021-10-25,https://www.facebook.com/events/1549691885362083/,/images/event20211025asaka.jpg
勉強会「オススメの初心者向けノーコードツールを語る会」(5/27）を開催します,2021-05-13,2021-05-27,https://www.facebook.com/events/1691827927671556/,/images/event20210527nocode.jpg
勉強会「夏休み親子向け★オープンストリートマップでデータをつかった地図づくりに挑戦」(8/21）を開催します,2021-07-16,2021-08-21,https://www.facebook.com/events/357591455709810,/images/event20210821natu.jpg
勉強会「ひさびさの人・初めての人　オープンストリートマップおさらい講座」(9/20）を開催します,2021-08-31,2021-09-20,https://www.facebook.com/events/4202754799838435/,/images/event20210920osm.jpg
勉強会　みんなでさわる。おさわりの日「Glide（グライド）」(11/16）を開催します,2021-10-25,2021-11-16,https://www.facebook.com/events/600516421365027,/images/event20211116glide.jpg
勉強会　みんなでさわる。おさわりの日「uMap（ユーマップ）」(10/11）を開催します,2021-10-02,2021-10-11,https://www.facebook.com/events/612239026824012/,/images/event20211011osawari.jpg
ミートアップ,,2021-02-25,https://www.facebook.com/events/849402515903831,/images/event20210225opne.jpg
勉強会「メンバーの情報共有に使えるツールを知りたい＜市民活動を考えるシリーズ＞」(11/30）を開催します,2021-11-18,2021-11-30,https://www.facebook.com/events/386197209855639,/images/event20211130simin01.jpg
データ活用入門講座,,2021-03-21,https://www.facebook.com/events/775891640006789,/images/event20210321data.jpg
シビックテックサミットカナザワ2021に登壇します(11/14）,2021-10-12,,https://civictechsummit.jp/,
,,2020-12-09,https://www.facebook.com/events/689689095083067,/images/event20201209resas.jpg
